26.000	0.00000
826.000	0.90280
1406.000	1.44960
1706.000	1.69160
1736.000	1.72160
1766.000	1.74560
1796.000	1.77160
1826.000	1.79960
1856.000	1.82780
1886.000	1.85380
1916.000	1.87180
1946.000	1.90580
1976.000	1.92780
2006.000	1.94980
2036.000	1.97380
2066.000	1.99580
2096.000	2.02380
2126.000	2.04780
2156.000	2.06780
2186.000	2.09180
2216.000	2.11580
2246.000	2.13980
2276.000	2.16380
2306.000	2.18580
2336.000	2.20980
2366.000	2.22980
2396.000	2.24980
2426.000	2.27380
2456.000	2.29580
2486.000	2.31780
2516.000	2.33780
2546.000	2.35980
2576.000	2.37980
2606.000	2.40180
2636.000	2.42380
2666.000	2.44180
2696.000	2.46380
2726.000	2.48580
2756.000	2.50380
2786.000	2.52400
2816.000	2.54400
2846.000	2.56200
2876.000	2.58200
2906.000	2.60000
2936.000	2.62000
2966.000	2.63800
2996.000	2.65600
3026.000	2.67600
3056.000	2.69400
3086.000	2.71000
3116.000	2.72600
3146.000	2.74200
3176.000	2.76000
3206.000	2.77800
3236.000	2.79800
3266.000	2.81600
3296.000	2.83400
3326.000	2.85400
3356.000	2.87000
3386.000	2.88800
3416.000	2.90800
3446.000	2.93200
3476.000	2.94800
3506.000	2.96800
3536.000	2.98800
3551.000	2.99600
3566.000	3.00400
3596.000	3.01800
3626.000	3.03400
3656.000	3.05000
3686.000	3.07000
3716.000	3.09000
3746.000	3.10600
3776.000	3.11200
3806.000	3.13400
3836.000	3.15200
3866.000	3.17000
3896.000	3.18800
3956.000	3.22000
3986.000	3.23400
4016.000	3.23800
4046.000	3.25800
4076.000	3.28000
4101.000	3.29000
4136.000	3.30400
4166.000	3.32200
4196.000	3.34800
4226.000	3.36200
4256.000	3.37200
4286.000	3.38200
4318.000	3.41000
4356.000	3.42400
